state,fy_start,fuel_litres,ef_grid,diesel_saved_tco2,grid_saved_tco2,gross_abatement_tco2,rebound_tco2,net_abatement_tco2,rebound_tco2_signed
Andaman and Nicobar Islands,2014,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2015,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2016,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2017,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2018,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2019,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2020,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2021,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2022,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2023,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2024,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2014,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2015,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2016,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2017,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2018,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2019,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2020,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2021,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2022,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2023,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2024,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2014,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2015,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2016,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2017,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2018,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2019,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2020,400,0.71,13.18445280669326,0.0,13.18445280669326,0.0,19.776679210039887,0.0
Arunachal Pradesh,2021,400,0.71,39.2324895218995,3.926460483929502,43.158950005829006,0.0,62.93170016353257,0.0
Arunachal Pradesh,2022,400,0.71,90.49651028907458,2.0556460090978312,92.5521562981724,0.0,137.8823477554667,0.0
Arunachal Pradesh,2023,400,0.71,127.75943977804496,74.8573538350597,202.61679361310468,0.0,269.48026436625696,0.0
Arunachal Pradesh,2024,400,0.71,172.93001288160042,22.219808901400608,195.14982178300104,0.0,282.5004910293078,0.0
Assam,2014,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2015,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2016,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2017,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2018,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2019,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2020,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2021,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2022,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
Assam,2023,400,0.71,0.0,0.0,0.0,0.0,0.0,0.0
