column,non_null,dtype
state,396,object
fy_start,396,int64
kusum_cum_pumps,186,float64
kusum_cum_B,186,float64
kusum_cum_C,186,float64
kusum_share_pool,186,float64
kusum_share_B,186,float64
kusum_share_C,186,float64
kusum_dose_terminal,186,float64
kusum_dose_B_terminal,186,float64
kusum_dose_C_terminal,186,float64
net_irr_kha_latest,168,float64
kusum_intensity_per_kha,168,float64
kusum_intensity_B_per_kha,168,float64
kusum_intensity_C_per_kha,168,float64
kusum_dose_per_kha,168,float64
kusum_log1p_pumps,186,float64
agri_grid_gwh,210,float64
total_elec_gwh,210,float64
tubewells,229,float64
other_wells,192,float64
canal_total,252,float64
net_irrigated_000ha,300,float64
gw_stage_step,396,float64
gw_stage_linear,396,float64
gw_interpolated,396,int64
gsdp_cr,354,float64
td_loss_pct,315,float64
discom_health_td,315,float64
discom_health,294,float64
dhi_uday,294,object
rpo_target_pct,294,float64
rpo_compliance_score,31,float64
ghi_annual,282,float64
ghi_imputed,294,object
log_gdp,288,float64
log_gdp_pc,288,float64
population,288,float64
gdp_imputed,294,object
diesel_pumps_2016_17,297,float64
standalone_solar_pumps_installed,297,float64
ghi_annual_obs,220,float64
rpo_compliance,363,float64
foodgrain_prod_lakh_t_2024,385,float64
cropped_area_lakh_ha_2024,385,float64
pumpsets_total_31Mar2023,385,float64
gw_stress_cat,396,object
fy,396,object
kusum_treated,396,int64
