state,gw_year,extractable_bcm,extraction_irrigation_bcm,extraction_total_bcm,stage_of_extraction_pct
Andaman and Nicobar Islands,2020,0.28,0.0,0.01,2.6
Andhra Pradesh,2020,22.94,6.6,7.63,33.26
Arunachal Pradesh,2020,2.92,0.0,0.01,0.36
Assam,2020,21.97,1.97,2.58,11.73
Bihar,2020,25.46,10.33,13.02,51.14
Chandigarh,2020,0.06,0.01,0.05,80.6
Chhattisgarh,2020,11.55,4.53,5.35,46.34
Dadra and Nagar Haveli and Daman and Diu,2020,0.07,0.01,0.03,45.99
Dadra and Nagar Haveli and Daman and Diu,2020,0.03,0.0,0.03,113.38
Delhi,2020,0.29,0.07,0.29,101.4
Goa,2020,0.32,0.02,0.08,23.48
Gujarat,2020,24.91,12.65,13.3,53.39
Haryana,2020,8.63,10.47,11.61,134.56
Himachal Pradesh,2020,0.97,0.2,0.36,36.83
Jammu and Kashmir,2020,4.22,0.2,0.89,21.03
Jharkhand,2020,5.64,0.93,1.64,29.13
Karnataka,2020,16.4,9.6,10.63,64.85
Kerala,2020,5.12,1.16,2.65,51.68
Ladakh,2020,0.11,0.0,0.02,17.9
Lakshadweep,2020,0.01,0.0,0.0,58.47
Madhya Pradesh,2020,33.38,17.33,18.97,56.82
Maharashtra,2020,30.25,15.29,16.63,54.99
Manipur,2020,0.46,0.0,0.02,5.12
Meghalaya,2020,1.82,0.03,0.08,4.22
Mizoram,2020,0.2,0.0,0.01,3.81
Nagaland,2020,1.95,0.0,0.02,1.04
Odisha,2020,15.71,5.5,6.86,43.65
Puducherry,2020,0.2,0.1,0.15,74.27
Punjab,2020,20.59,32.8,33.85,164.42
Rajasthan,2020,11.07,14.37,16.63,150.22
Sikkim,2020,0.86,0.0,0.01,0.86
Tamil Nadu,2020,17.69,13.52,14.67,82.93
Telangana,2020,15.03,7.13,8.01,53.32
Tripura,2020,1.24,0.02,0.1,7.94
Uttar Pradesh,2020,66.88,41.29,46.03,68.83
Uttarakhand,2020,1.85,0.63,0.87,46.8
West Bengal,2020,26.56,10.84,11.84,44.6
Andaman and Nicobar Islands,2022,0.56,0.0,0.01,1.35
Andhra Pradesh,2022,25.86,6.46,7.45,28.81
Arunachal Pradesh,2022,4.07,0.02,0.03,0.79
Assam,2022,21.4,2.06,2.65,12.38
Bihar,2022,30.04,10.01,13.5,44.94
Chandigarh,2022,0.05,0.01,0.04,80.99
Chhattisgarh,2022,11.01,4.62,5.46,49.58
Dadra and Nagar Haveli and Daman and Diu,2022,0.08,0.01,0.11,133.2
Dadra and Nagar Haveli and Daman and Diu,2022,0.04,0.0,0.06,157.93
Delhi,2022,0.37,0.09,0.36,98.16
