state,agri_GWh_2016_17,total_GWh_2016_17,agri_GWh_2017_18,total_GWh_2017_18,agri_GWh_2018_19,total_GWh_2018_19,agri_GWh_2019_20,total_GWh_2019_20
Andaman & Nicobar Islands,0.00,265.83,1.18,265.68,1.02,254.68,1.12,268.50
Andhra Pradesh,13296.61,47761.45,12589.20,51000.80,12838.59,55406.79,15338.12,57118.77
Arunachal Pradesh,0.04,370.82,0.04,436.98,0.03,446.54,0.03,418.69
Assam,36.00,6525.00,34.72,7063.82,46.71,7268.18,37.00,7109.00
Bihar,409.28,17250.69,479.84,18713.22,726.71,20856.40,932.94,22708.58
Chandigarh,4.23,1589.02,1.43,1573.88,1.36,1535.45,1.02,1603.81
Chhattisgarh,4290.38,19159.47,4831.25,20362.54,5038.43,22210.21,5082.35,22793.08
Dadra & Nagar Haveli,6.20,5737.00,6.50,5672.04,7.23,6065.98,5.25,6287.98
Daman & Diu,2.72,1737.09,4.73,2377.37,4.83,2431.44,4.34,2495.67
Delhi,28.88,26604.49,33.17,28487.75,33.43,29168.82,37.36,29812.02
Goa,29.94,3475.37,29.94,3617.92,26.37,3787.13,27.29,4104.19
Gujarat,16758.62,85555.79,13731.76,90719.23,14598.35,95970.44,11989.83,92245.12
Haryana,9708.81,34500.61,10067.34,38215.38,9714.29,41017.42,10371.16,43382.05
Himachal Pradesh,57.28,7973.79,62.18,8404.56,62.98,9040.86,56.73,9123.99
Jammu & Kashmir,313.00,7902.45,314.45,8394.87,349.00,9633.20,368.00,10622.85
Jharkhand,110.39,19548.79,202.44,19950.15,210.36,21184.40,193.91,21997.03
Karnataka,21625.35,58152.32,21377.16,59235.60,22788.19,62405.45,21823.07,61130.64
Kerala,331.56,20218.40,372.27,21354.14,348.67,21413.72,360.47,23148.94
Lakshadweep,0.00,47.59,0.00,48.50,0.00,48.91,0.00,48.42
Madhya Pradesh,17331.65,45681.37,18473.18,52522.85,20283.80,56972.24,23016.94,58628.43
Maharashtra,28201.84,121050.81,30306.90,124920.73,34616.34,132618.57,29291.23,125644.95
Manipur,0.96,511.92,2.12,564.00,2.12,612.78,2.18,631.16
Meghalaya,0.10,972.38,0.12,1063.73,0.13,1105.02,0.31,1259.48
Mizoram,0.00,353.54,0.00,395.77,0.00,407.76,0.14,486.40
Nagaland,0.02,634.83,0.00,663.72,0.00,679.14,0.00,692.72
Odisha,327.04,16987.96,429.34,17713.75,558.89,19372.82,579.15,20715.89
Puducherry,59.17,2556.19,57.28,2539.96,59.97,2653.82,55.32,2713.78
Punjab,12195.97,44050.22,12294.65,47027.46,11268.38,50119.80,11581.56,49168.06
Rajasthan,21361.21,51027.26,22833.45,53617.78,23300.35,60151.43,25664.75,61941.93
Sikkim,0.00,436.57,0.00,343.67,0.00,380.81,0.00,411.35
Tamil Nadu,11733.40,83936.07,11257.43,86654.00,13077.16,91788.33,13828.26,95919.07
Telangana,15676.32,44446.48,19984.61,51197.64,24077.04,58365.62,20820.54,59364.54
Tripura,40.55,895.27,38.51,928.01,40.67,955.69,34.38,914.22
Uttar Pradesh,15638.04,81068.21,17742.15,90395.38,17362.03,91355.02,18200.05,94932.13
Uttarakhand,141.71,11161.88,437.08,11210.30,450.19,11543.34,191.35,12021.35
West Bengal,1433.61,43945.80,1250.42,45477.60,1515.55,48289.72,1398.75,50481.54
India,191150.89,914092.73,199246.85,973130.78,213409.18,1037517.93,211294.89,1052346.36
