state,agri_GWh_2020_21,agri_GWh_2021_22,total_GWh_2020_21,total_GWh_2021_22,agri_share_pct_2020_21,agri_share_pct_2021_22
Andaman & Nicobar Islands,1.11,1.18,245.13,267.30,0.45,0.44
Andhra Pradesh,9368.73,14114.03,51756.03,62592.64,18.10,22.55
Arunachal Pradesh,0.77,0.06,405.11,518.25,0.19,0.01
Assam,39.00,54.23,7356.29,8520.06,0.53,0.64
Bihar,1149.30,1140.86,24108.37,26000.33,4.77,4.39
Chandigarh,1.37,1.43,1349.09,1409.33,0.10,0.10
Chhattisgarh,5902.81,5933.05,23361.34,25161.29,25.27,23.58
Dadra and Nagar Haveli,4.85,5.25,5286.39,6379.94,0.09,0.08
Daman and Diu,3.40,3.37,2136.68,2482.36,0.16,0.14
Delhi,39.44,33.10,26319.22,27624.83,0.15,0.12
Goa,31.25,31.13,3700.21,4113.58,0.84,0.76
Gujarat,12663.82,13791.38,92275.88,106151.65,13.72,12.99
Haryana,10087.50,9123.54,41943.83,46035.71,24.05,19.82
Himachal Pradesh,72.64,85.10,8635.31,10198.09,0.84,0.83
Jammu & Kashmir,361.57,375.42,9984.32,10185.37,3.62,3.69
Jharkhand,203.60,178.05,21375.17,22773.15,0.95,0.78
Karnataka,22337.19,21935.73,62783.14,60959.62,35.58,35.98
Kerala,412.02,384.69,22598.78,23931.48,1.82,1.61
Lakshadweep,0.00,0.00,53.10,50.25,0.00,0.00
Madhya Pradesh,25645.52,26521.52,60954.12,65812.24,42.07,40.30
Maharashtra,33912.33,36253.20,126423.05,141170.12,26.82,25.68
Manipur,7.08,7.19,651.30,731.70,1.09,0.98
Meghalaya,0.14,0.13,1326.45,906.67,0.01,0.01
Mizoram,0.16,0.00,453.54,660.92,0.04,0.00
Nagaland,0.00,0.00,682.57,654.23,0.00,0.00
Odisha,644.66,781.42,20609.57,21561.37,3.13,3.62
Puducherry,68.57,61.71,2603.14,2773.64,2.63,2.22
Punjab,13092.85,12572.46,50285.69,53353.27,26.04,23.56
Rajasthan,28525.48,28816.56,64888.34,69603.64,43.96,41.40
Sikkim,0.00,0.00,414.77,440.60,0.00,0.00
Tamil Nadu,13974.68,13436.25,94592.04,101957.96,14.77,13.18
Telangana,22260.11,22159.18,57896.31,62153.84,38.45,35.65
Tripura,38.00,39.15,982.33,1051.06,3.87,3.72
Uttar Pradesh,18931.27,18956.52,93600.08,97321.54,20.23,19.48
Uttarakhand,189.99,430.00,11225.05,12518.80,1.69,3.43
West Bengal,1332.23,1224.59,48393.90,58097.75,2.75,2.11
India,221303.44,228451.47,1041655.63,1136124.53,21.25,20.11
