Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Bagalkot,19608.07,20756.06,2434.48,22548.55,65347.16,6534.68,58812.48,45158.602,41.0625,4449.98977,49649.63,4601.51,23912.94,84.4202285
2,Ballari,13976.06,40102.72,2093.77,12687.42,68859.97,6886.01,61973.96,14059,471.298837,1970.38111,16500.68,2108.96,45644.7,26.62518258
3,Belagavi,45536.96,24852.91,15202.13,34523.28,120115.28,11459.57,108655.71,65241.4,232.188346,12622.3057,78095.88,13928.72,37253.55,71.87462122
4,Bengaluru (Rural),7929.28,1952.24,5447.43,2173.7,17502.65,1750.25,15752.4,19494.5759,1053.24473,2616.65963,23164.46,2771.15,0,147.0535284
5,Bengaluru (Urban),8379.36,7812.37,4802.41,10745.39,31739.53,3173.95,28565.58,24542.85,12714.33,16075.316,53332.51,16447.68,0,186.7020029
6,Bidar,30727.9,3514.63,300.09,2944.01,37486.63,3729.52,33757.1,16031.74,56.14,4307.06391,20394.95,4416.03,13297.96,60.41677158
7,Chamarajanagara,18047.17,8257.72,5574.73,5684.58,37564.2,3427.23,34136.97,30145.875,29.40858,2618.52134,32793.77,3049.89,4121.68,96.06526297
8,Chikkaballapura,18827.1,4789.3,3377.37,6963.24,33957.01,3395.72,30561.29,47097.57,105.16336,3019.28555,50221.99,3150.21,0,164.3320357
9,Chikkamagaluru,26644.38,22506.4,3410.81,15013.16,67574.75,6757.47,60817.27,31303.7,0.152354,2505.82286,33809.68,2625.54,28144.5,55.59223556
10,Chitradurga,22000.91,6831.95,5056.35,5956.86,39846.07,3984.61,35861.46,47773.86,95.61,3928.80613,51798.27,4073.87,661.19,144.4399364
11,Dakshina Kannada,54474.77,4993.38,10006.21,5412.25,74886.61,7488.65,67397.96,24647.0495,53.1234688,5152.37101,29852.52,5412.63,37285.17,44.29291332
12,Davanagere,15011.51,28372.96,3087.02,15070.2,61541.69,6154.17,55387.52,46346.7,229.086783,3653.66832,50229.48,3732.26,18435.54,90.68736062
13,Dharwad,15111.65,6838.6,3511.75,6930.34,32392.34,3239.24,29153.1,14323.01,98.975,1705.96383,16127.94,1747.51,12983.61,55.3215267
14,Gadag,12351.34,8797.56,4545.35,7500.83,33195.08,3319.51,29875.57,23598.4,27.6807134,673.079856,24299.19,732.18,7593.49,81.33464901
15,Hassan,29844.8,28319.51,2035.92,24879.87,85080.1,8508.02,76572.08,49111.7229,39.132855,1165.32386,50316.17,1193.26,31439.76,65.71085701
16,Haveri,17339.18,26795.41,6383.89,6725.46,57243.94,5724.37,51519.57,34341.88,73.015695,1985.43915,36400.31,2184.68,17015.03,70.65336531
17,Kalburgi,56634.44,6045.19,1083.62,8119.18,71882.43,7169.52,64712.9,20875.0684,47.7,7253.6742,28176.45,7653.22,36732.61,43.54070054
18,Kodagu,18984.93,3478.18,25.43,1804.05,24292.59,2297.06,21995.53,6764.69,99.9735,929.629907,7794.32,956.23,14174.61,35.43592721
19,Kolara,16298.08,7390.64,4241.97,13277.73,41208.42,4120.84,37087.58,67392.97,172.84,4143.49347,71709.3,4297.6,0,193.3512513
20,Koppal,16706.83,30470.21,2299.94,15685.24,65162.22,6516.2,58646.01,34245.4741,178.03436,2792.98584,37216.5,2926.84,25992.01,63.45956016
21,Mandya,19106.89,24542.37,2610.06,25789.29,72048.61,7064.96,64983.63,37466.8445,67.4239,3950.93454,41485.24,4003.43,26807.73,63.83952389
22,Mysuru,25676.15,26799.2,3400.87,12963.46,68839.68,6883.98,61955.7,27554.3326,92.6863683,4312.78718,31959.81,4531.62,29777.05,51.58493892
23,Raichur,26044.07,36186.97,5207.45,11782.62,79221.11,7870.75,71350.36,30341.1579,173.35,3304.91006,33819.44,3589.07,38907.52,47.39911614
24,Ramanagara,9322.1,16343.21,8300.45,14007.89,47973.65,4797.38,43176.27,38267.3363,884.88,3134.37607,42286.6,3295.89,3313.01,97.93944683
25,Shivamogga,63554.9,28423.35,1290.71,17093.22,110362.18,11036.23,99325.95,37864.7678,266.38,2696.57673,40827.72,2749.97,60205.01,41.10478682
26,Tumakuru,43579.98,15455.32,9353.24,16359.55,84748.09,8474.82,76273.27,63367.2416,141.045,5792.20924,69300.46,5984.2,15943.85,90.85812107
27,Udupi,43394.11,2854.42,627.9,5001.29,51877.72,5187.77,46689.95,13903.75,57.303,2110.31685,16071.36,2144.62,30584.28,34.42145472
28,Uttara Kannada,80255.87,4511.51,1196.29,5552.73,91516.4,8867.38,82649.02,23438.1814,23.7221949,3147.01927,26608.93,3194.97,55992.15,32.19509439
