Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Ahmednagar,87414.55,13325.98,14398.48,45925.63,161064.64,8177.03,152887.61,114588.35,0,6196.74,120785.1,6208.26,43145.89,79
2,Akola,28849.65,1680.41,207.45,8900.29,39637.81,2781.18,36856.63,21544.03,0.59,2254.58,23799.2,2375.6,13106.69,64.57
3,Amravati,53494.29,4586.76,1228.13,24483.76,83792.94,5970.71,77822.22,57474.79,0,4209.66,61684.53,5234.93,22251.16,79.26
4,Aurangabad,74759.02,7315.56,4859.62,31620.12,118554.32,5999.41,112554.91,69352.38,0,3462.54,72814.94,3462.48,39739.98,64.69
5,Beed,80902.03,9247.4,6159.28,33981.21,130289.92,6831.73,123458.19,68446.53,39.65,4897.27,73383.42,4897.34,50074.77,59.44
6,Bhandara,32318.64,45408.18,417.8,16188.83,94333.44,7060.07,87273.37,22414.31,171.66,3701.8,26287.78,3759.41,60927.98,30.12
7,Buldhana,64860.26,5506,263.81,21040.92,91671,5350.32,86320.68,60827.15,0,3254.4,64081.64,3365.37,25190.66,74.24
8,Chandrapur,98913.75,5144.22,1471.98,11836.22,117366.17,6228.46,111137.71,14945.32,23.96,17833.18,32802.59,17833.15,78335.09,29.52
9,Dhule,45174.16,7207.86,0,20848.44,73230.46,4005.46,69225,33861.76,102.74,1756.46,35720.96,1756.46,33504.03,51.6
10,Gadchiroli,92707.85,3786.79,0,10921.86,107416.49,5989.89,101426.6,21811.75,1.55,4782.9,26596.33,4782.91,74830.27,26.22
11,Gondia,42680.49,6682.82,645.57,16414.08,66422.96,4372.52,62050.44,10181.03,318.71,6029.98,16529.7,6029.97,45520.74,26.64
12,Hingoli,50143.82,2996.45,1354.99,48447.79,102943.05,5163.68,97779.37,36287.09,2.53,2159.14,38448.77,2159.14,59424.35,39.32
13,Jalgaon,88722.94,8065.52,574.12,47455.32,144817.9,7830.2,136987.7,101248.72,313.65,4887.81,106450.16,4887.79,36664.63,77.71
14,Jalna,58268.35,3561.74,115.46,22708.87,84654.42,4303.18,80351.24,40457.75,68.84,1426.56,41953.19,5697.01,35304.75,52.21
15,Kolhapur,53349.1,10165.36,780.56,71694.67,135989.69,8196.01,127793.68,52178.04,0,2140.38,54318.4,2140.38,73475.26,42.5
16,Latur,44853.57,8517.28,0,17506.84,70877.69,3954.1,66923.59,33580.73,192.54,2199.63,35972.88,2199.62,31415.48,53.75
17,Mumbai,1365.05,104.7,0,85.67,1555.42,77.77,1477.65,0,60.77,619.37,680.14,619.37,797.51,46.03
18,Mumbai Sub,6912.88,132.26,0,108.22,7153.36,357.68,6795.68,0,82.27,1787.66,1869.91,1787.67,4925.77,27.52
19,Nagpur,65716.83,10566.59,2587.16,23996.35,102866.93,5785.48,97081.46,35859.92,354.32,10252.49,46466.69,10252.51,50628.15,47.86
20,Nanded,103267.93,1038.14,3718.96,17584,125609.03,6289.47,119319.56,34865.24,1.21,3385.9,38252.33,3385.92,81090.42,32.06
21,Nandurbar,39900.15,2868.92,0,9066.38,51835.45,2774.95,49060.49,17497.52,0,2991.68,20489.2,2991.68,28571.29,41.76
22,Nashik,132367.26,15003.4,3856.42,49686.39,200913.47,11142.93,189770.54,104646.41,1202.37,3593.64,109442.4,3593.61,86065.07,57.67
23,Osmanabad,61044.75,8143.27,2583.65,17414.13,89185.8,4502.67,84683.13,48272.7,0.79,2315.87,50589.39,2315.85,34273.83,59.74
24,Palghar,18331.86,365.52,0,3447.27,22144.65,1390.63,20754.02,3929.19,43.8,1017.23,4990.2,1017.24,15763.82,24.04
25,Parbhani,58691.41,1844.79,602.32,26131.14,87269.66,4363.45,82906.21,36212.33,0,1950.18,38162.49,1950.17,44743.74,46.03
26,Pune,94080.55,26016.44,1192.62,73760.12,195049.73,14590.4,180459.33,108266.45,0,8140.88,116407.3,8494.17,71509.58,64.51
27,Raigad,32706.93,192.8,0,5192.29,38092.02,1954.18,36137.84,4227.85,0,1982.81,6210.69,1982.83,29927.15,17.19
28,Ratnagiri,38638.43,177.21,18.49,2242.79,41076.92,2287.19,38789.73,5602.73,0,1331.9,6934.64,1331.93,31855.09,17.88
29,Sangli,42106.88,21549.92,12389.03,65276.51,141322.34,9581.42,131740.92,67073.74,0,3375.47,70449.22,3414.3,61692,53.48
30,Satara,52161.08,18770.96,3744.03,36917.34,111593.41,6895.83,104697.58,60650.26,0,4854.62,65504.91,4854.65,39595.85,62.57
31,Sindhudurg,20891.02,196.26,3.83,2251.76,23342.87,1174.78,22168.09,7429.09,0,2223.48,9652.54,2223.48,12515.55,43.54
32,Solapur,91839.46,11270.79,2954.03,40448.73,146513.01,7657.91,138855.1,102898.49,2.65,4853.01,107754.2,4853.01,37691.34,77.6
33,Thane,14767.22,290.06,0,2232.87,17290.15,953.19,16336.96,2397.66,0,739.61,3137.24,739.61,13199.72,19.2
34,Wardha,57486.01,5453.24,1427.6,25090.54,89457.39,4574.74,84882.65,38993.65,118.8,3455.49,42567.91,3455.53,42458.33,50.15
35,Washim,42509.28,5242.64,68.85,15402.51,63223.28,3279.25,59944.03,32110.92,8.51,2108.93,34228.39,2108.91,25715.64,57.1
36,Yawatmal,97171.18,3119.83,5825.78,18784.37,124901.16,6866.7,118034.46,37340.61,23.21,7636.6,45000.38,7636.59,73037.36,38.12
,Total(Ham),2069368.63,275546.06,73450.02,885094.23,3303458.94,188714.58,3114744.36,1507474.46,3135.12,139809.84,1650419.69,145798.86,1508968.94,52.99
,Total(Bcm),20.69,2.76,0.73,8.85,33.03,1.89,31.15,15.07,0.03,1.4,16.5,1.46,15.09,52.99
