Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Ariyalur,17210.13,18042.9,529.4,1938.82,37721.25,3381.47,34339.78,16653.4,53.34,1219.86,17926.61,1326.88,16475.09,52.2
2,Chengalpattu,18796.31,40567.26,5.33,3419.08,62787.98,6204.12,56583.85,37533.4,322.95,781.81,38638.2,1459.25,17348.75,68.28
3,Chennai,8083.42,1276.81,0,857.66,10217.89,921.36,9296.52,175.9,1137.2,10296.87,11609.99,10458.56,835.15,124.89
4,Coimbatore,21677.03,27401.17,2546.08,8759.61,60383.89,5961.97,54421.92,45128.29,404.57,1647.61,47180.46,5832.98,22168.41,86.69
5,Cuddalore,38344.96,42474.47,19177,11828.45,111824.88,10884.23,100940.65,63909.12,80.29,1594.02,65583.44,3360.27,41022.47,64.97
6,Dharmapuri,21538.17,10569.37,2744.22,12959.21,47810.97,4781.12,43029.84,40307.49,30.8,736.59,41074.89,1522.35,5615.47,95.46
7,Dindigul,24410.9,24598.03,2890.51,10266.73,62166.17,6078.47,56087.7,60130.57,349.6,1694.77,62174.95,4055.24,10109.55,110.85
8,Erode,14311.16,46688.32,3360.73,9245.65,73605.86,7236.18,66369.68,52781.09,411.91,931.96,54124.99,18347.45,12329.27,81.55
9,Kallakurichchi,27040.34,28226.82,957.28,10907.1,67131.54,6097.12,61034.42,50210.55,20.4,676.85,50907.82,1542.74,12474.78,83.41
10,Kancheepuram,16343.9,34743.88,0,6832.73,57920.51,5665.41,52255.09,24849.3,668.03,318.5,25835.83,929.45,25936.36,49.44
11,Kanniyakumari,7205.09,19927.85,1583.91,4216.68,32933.53,3293.35,29640.18,3801,106.75,1032.85,4940.63,1201.76,24681.68,16.67
12,Karur,11838.73,18240.32,1543.66,2393.28,34015.99,3220.82,30795.17,29038.26,329.76,463.61,29831.63,1102.41,7663.58,96.87
13,Krishnagiri,17062.06,16330.06,2653.56,12357.14,48402.82,4516.53,43886.28,40979.08,574.55,527.39,42081.02,1748.36,5690.73,95.89
14,Madurai,22674.3,36893.58,2970.9,16166.92,78705.7,7546.15,73366.74,40779.15,3634.35,4706.21,49119.7,6197.55,25741.91,66.95
15,Mayiladuthurai,6974.64,31576.7,128.16,805.84,39485.34,3948.54,35536.8,42550.88,0,1355.66,43906.57,2989.41,2666.16,123.55
16,Nagapattinam,0,0,0,0,0,0,0,0,0,0,0,0,0,Saline
17,Namakkal,21286.89,26608.88,5034.78,6850.17,59780.72,5563.71,54217.01,55115.15,84.8,5718.74,60918.67,6186.03,9966.44,112.36
18,Perambalur,9067.19,12416.2,766.27,3071.48,25321.14,2421.1,22900.04,24539.24,32.9,490.73,25062.87,855.12,7573.77,109.44
19,Pudukkottai,34481.46,53460.42,4476.72,4527.29,96945.89,9651,87294.89,42923.38,546,895.98,44365.37,1943.5,42144.78,50.82
20,Ramanathapuram,2891.9,9080.72,30558.74,6102.45,48633.81,4863.43,43770.38,3781.2,62.3,679.01,4522.44,1437.11,38489.85,10.33
21,Ranipet,14519.93,7221.58,186.01,6413.49,28341.01,2511.03,25829.98,21072.85,1084.27,770.71,22927.83,1477.79,3394.42,88.76
22,Salem,19180.42,26896.35,1722.66,5196.36,52995.79,5299.63,47696.16,68596.25,337.5,1056.53,69990.28,2324.63,9705.83,146.74
23,Sivagangai,27427.23,34507.81,2800.34,1303.27,66038.65,6344.83,59693.81,15893.92,225.5,1463.1,17582.53,2249.61,41324.77,29.45
24,Tenkasi,10874.16,38307.56,2681.82,6195.87,58059.41,5675.13,52384.29,39052.1,179.54,932.74,40164.38,932.74,21602.95,76.67
25,Thanjavur,60999.97,33798.42,4218.78,5745.08,104762.25,10408.06,94354.19,74142.8,684.2,20290.11,95117.13,20705.93,11705.6,100.81
26,The Nilgiris,12873.36,359.63,1350.65,157.66,14741.3,1474.14,13267.16,650.7,52.4,199.27,902.35,2762.58,10372.71,6.8
27,Theni,7079.35,16915.16,3875.36,3536.86,31406.73,3140.69,28266.03,20927.78,92.11,616.23,21636.12,912.42,8504.09,76.54
28,Thiruvarur,7406.89,15146.72,372.59,766.34,23692.54,2369.25,21323.29,12958.49,19.95,1359.9,14338.38,3605.92,9087.18,67.24
29,Thoothukudi,20368.15,33087,3130.67,12143.36,68729.18,6715.74,62013.4,20861.18,305.05,448.01,21614.22,1501.92,39666.84,34.85
30,Tiruchirappalli,18793.81,52296.67,1334.26,8061.5,80486.24,7993.2,72493.05,51991.65,260.3,739.35,52991.3,9581.47,29826.46,73.1
31,Tirunelveli,32066.25,35001.03,8302.6,8309.02,83678.9,7890.31,75788.59,31938.9,87.24,722.37,32748.55,1215.21,42779.56,43.21
32,Tirupathur,5782.61,2037.85,372.78,1843.91,10037.15,1003.72,9033.43,11974.79,71.69,529.48,12575.96,1960.06,116.06,139.22
33,Tiruppur,14146.09,31482.15,3526.64,12854.86,62009.74,6065.5,55944.24,45914.55,296.05,572.52,46783.04,3104.66,11072.52,83.62
34,Tiruvallur,54634.5,21864.32,0,9768.65,86267.47,7611.83,78655.65,39680.3,1158.26,2095.22,42933.82,4401,33663.11,54.58
35,Tiruvannamalai,28596.19,67544.24,401.79,25057.49,121599.71,11453.55,110146.16,82925.18,228.6,8121.39,91275.12,8196.43,23841.22,82.87
36,Vellore,7479.24,4606.61,281.98,4631.89,16999.72,1664.55,15335.17,16290.75,335.28,2003.69,18629.72,2864.6,647.47,121.48
37,Villupuram,41734.19,47839.63,73.03,13447.78,103094.63,9669.54,93425.09,79391.09,19.63,2174.35,81585.1,3726.44,15622.9,87.33
38,Virudhunagar,16739.31,49971.26,3534.29,12343.59,82588.45,7852.01,74736.43,41148.01,65.36,487.38,41700.76,487.38,34213.98,55.8
,Total(Ham),741940.23,1018007.75,120093.5,271283.27,2151324.75,207378.79,1946153.06,1350597.74,14353.43,80351.37,1445302.67,144507.21,676081.87,74.26
,Total(Bcm),7.42,10.18,1.2,2.71,21.51,2.07,19.46,13.51,0.14,0.8,14.45,1.45,6.76,74.26
