Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Adilabad,26523.48,16847.06,0,17686.14,61056.68,5815.1,55241.46,16618.86,264.77,2846.88,19730.57,3462.18,35525.33,35.72
2,Bhadradri Kothagudem,56543.34,29755.14,8389.74,14476.68,109164.91,10448.55,98716.33,23618.26,3558.42,4110.11,31286.78,4135.96,70127.04,31.69
3,Hanumakonda,11740.45,19498.35,1438.71,20184.8,52862.31,5208.39,47653.91,26156.21,920.64,1703.61,28780.47,1703.6,20194.46,60.39
4,Hyderabad,1112.23,1695.2,244.6,3361.97,6414,609.06,5804.94,0,415.8,5551.07,5966.86,5962.35,862.49,102.79
5,Jagtial,17751.86,19252.02,1999.56,17989.08,56992.52,5687.99,51304.51,19737.75,595.7,303.46,20637.1,1609.67,29450.48,40.22
6,Jangaon,12364.96,14080.85,2415.54,9397.54,38258.9,3699.69,34559.23,18052.53,525.96,1394.98,19973.76,1529.86,14625.65,57.8
7,Jayashankar Bhupalapally,19391.47,9522.93,1197.89,14132.72,44245.01,4244.66,40000.39,15547.55,1018.61,632.23,17198.46,636.51,23497.06,43
8,Jogulamba Gadwal,9383.46,22241.52,2588.33,5482.67,39695.98,3934.6,35761.4,11900.04,132.26,358.04,12390.25,745.38,23068.73,34.65
9,Kamareddy,28944.02,18178.58,3043.34,18158.39,68324.33,6454.4,61869.98,30614.58,702.6,1025.51,32342.83,2000.08,28826.2,52.28
10,Karimnagar,14223.02,38855.54,1738.79,43952.79,98770.15,9743.3,89026.87,23049.45,861.88,779.26,24690.39,1199.7,64493.26,27.73
11,Khammam,30102.49,52417.75,6290.39,14760.48,103571.11,9984.33,93586.78,37203.39,1311.31,4019.24,42533.94,4418.95,51934.36,45.45
12,Komarambheem Asifabad,33482.93,18381.1,0,14254.48,66118.51,6363.8,59754.67,8651.79,425.53,433.66,9510.71,860.26,49699.58,15.92
13,Mahabubabad,25824.33,14626.84,3280.83,18666.41,62398.41,6240.01,56158.48,27560.6,1585.56,1287.76,30433.93,1645.05,25830.58,54.19
14,Mahabubnagar,11867.31,8132.2,3379.82,11395.14,34774.47,3246.53,31527.85,21417.84,718.26,112.61,22248.79,1747.09,9334.74,70.57
15,Mancherial,34109.21,28225.41,0,33691.77,96026.39,9157.98,86868.4,21951.03,2059.83,478.68,24489.77,668.7,58358.12,28.19
16,Medak,17026.44,13172.62,2098.26,16092.02,48389.34,4441.92,43947.31,26187.05,1031.81,673.54,27892.03,1376.18,17194.71,63.47
17,Medchal Malkajgiri,4529.27,2786.86,913.26,2254.5,10483.89,1018.91,9464.96,4249.52,1413.1,1123.65,6786.33,4474.09,3732.2,71.7
18,Mulug,31270.68,13104.69,1924.11,13166.67,59466.15,5549.48,53916.59,11973.17,98.71,545.57,12617.57,824.58,38988.64,23.4
19,Nagarkurnool,24519.17,29005.87,7476.06,19896.59,80897.69,7992.71,72905.06,30033.15,398.35,1391.36,31822.88,1805.56,41623.91,43.65
20,Nalgonda,32084.11,45687.11,9350.96,34059.15,121181.33,11841.02,109340.28,47735.31,4319.48,5188.29,57243.08,5188.29,54607.45,52.35
21,Narayanpet,9226.2,9709.04,2037.52,7841.44,28814.21,2825.11,25989.08,10686.1,404.89,186.98,11277.72,1087.33,14311.06,43.39
22,Nirmal,26000.7,21932.33,1423.23,21256.36,70612.62,6676.94,63935.64,21430.4,771.72,1080.36,23282.66,1420.35,40673.5,36.42
23,Nizamabad,34184.41,26667.46,2391.14,40771.54,104014.55,9587.35,94427.25,50151.83,372.68,2189.97,52714.5,4074.7,36110.44,55.83
24,Peddapalle,15376.02,19157.13,1205.7,13755.6,49494.45,4739.8,44754.64,17608.48,1512,1190.47,20310.98,1813.49,24901.06,45.38
25,Rajanna Siricilla,17789.85,15351.26,2.25,17532.57,50675.93,4868.86,45807.07,27196.98,1094.44,117.81,28409.15,231.44,17284.32,62.02
26,Rangareddy,23804.12,15242.54,6560.92,12114.1,57721.68,5562.18,52159.42,29779.83,1139.22,3755.25,34673.61,5334.23,18777.42,66.48
27,Sangareddy,25665.31,5018.76,4665.93,6035.53,41385.53,3868.85,37516.73,15595.7,1653.28,2158.95,19407.9,2808.26,18672.49,51.73
28,Siddipet,20238.35,21279.48,3490.35,21485.69,66493.87,5876.61,60617.33,39533.39,952.5,330.52,40816.57,341.08,20197.15,67.33
29,Suryapet,19246.8,19786.79,3822.6,19805.2,62661.39,5929.49,56731.91,18069.6,1266.8,1559.64,20896.07,2029.2,35574.08,36.83
30,Vikarabad,19589.29,13205.62,3598.12,16586.54,52979.57,5296.98,47682.74,19359.94,68.4,517.16,19945.65,1699.19,27683.84,41.83
31,Wanaparthy,3553.32,27685.56,727.99,32244.64,64211.52,6399.77,57811.82,22922.72,261.55,261.46,23445.71,2387.95,26978.6,40.56
32,Warangal,11305.62,23003.55,1729.48,14710.02,50748.67,4838.04,45910.53,23072.07,1256.37,906.45,25234.71,1503.32,20980.03,54.96
33,Yadadri Bhuvanagiri,18930.1,29104.42,4576.76,28766.58,81377.86,7844.73,73533.09,40923.75,4268.02,2466.29,47658.08,2816.51,30396.39,64.81
,Total(Ham),687704.33,662611.59,94002.21,595965.79,2040283.91,195997.15,1844286.65,758588.88,37380.46,50680.82,846649.81,73541.07,994515.36,45.91
,Total(Bcm),6.88,6.63,0.94,5.96,20.4,1.96,18.44,7.59,0.37,0.51,8.47,0.74,9.95,45.91
