0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)},State-wise Gross State Domestic Product (GSDP) in India {(At Constant 2011-2012 Prices) (2011-2012 to 2024-2025)}
(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore),(Rs. in Crore)
States/UTs,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Andaman & Nicobar Islands,3978,4156,4488,4742,5092,5752,6464,6867,7266,6715,7081,7784,8126,
Andhra Pradesh,379402,380629,407115,444564,498606,540212,594737,626614,649810,659678,706791,752797,799400,865013
Arunachal Pradesh,11063,11299,12339,14383,14240,14893,15572,16668,19140,18435,18649,19301,20449,22423
Assam,143175,147342,154525,165212,191109,202081,219919,231040,240707,247819,258140,289793,324556,349814
Bihar,247144,256851,269650,279482,296488,318797,344028,381383,398329,368970,387256,436909,489126,531372
Chandigarh,18768,20285,22105,22870,24932,26917,28480,29866,31679,28593,30582,34868,38186,
Chhattisgarh,158074,165977,182580,185813,190584,213705,220136,244579,251549,251192,267033,285817,306712,329752
Delhi,343798,366628,392908,428355,475623,511765,542015,565327,586168,533634,572051,613654,669863,711486
Goa,42367,35850,31568,40116,46091,51249,52653,53063,54812,52605,53168,59867,64137,
Gujarat,615606,682650,734284,811428,894465,981342,1086570,1183020,1265277,1241118,1365587,1465998,,
Haryana,297539,320912,347507,370535,413405,456709,482036,532996,545124,499643,559922,584171,629491,677033
Himachal Pradesh,72720,77384,82847,89060,96274,103055,109406,116414,121227,115894,121191,129187,137343,145207
Jammu & Kashmir1,78256,80767,85102,82372,97001,100203,106624,115062,113919,112400,115402,122640,133421,143649
Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,231755,219483,245856,263531,283284,303178
Karnataka,606010,643033,704466,748429,831322,941774,1019724,1085101,1151393,1124311,1248654,1380065,1462578,1570298
Kerala,364048,387693,402781,419956,451210,485302,516190,554228,559194,511703,571983,604633,645310,685283
Madhya Pradesh,315562,351683,365134,383944,418736,470669,497102,543272,567525,540604,593665,628256,671636,712260
Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1888706,1957381,2046614,1852132,2058845,2255708,2435259,2612263
Manipur,12915,12993,14115,15245,16424,17082,18751,18262,19187,18073,19981,21174,22849,
Meghalaya,19918,20354,20726,20140,20638,21730,22564,23719,24923,22967,24876,27255,30154,33067
Mizoram,7259,7778,9038,11261,12324,13595,14758,16100,17884,16427,17662,19662,21664,
Nagaland,12177,12868,13793,14399,14660,15650,16440,16868,18477,17673,18292,18701,20742,
Odisha,230987,243363,265892,270665,292229,337348,361117,386733,397428,388979,452836,451785,483509,516575
Puducherry,16818,17310,19170,18207,19060,20474,22318,26209,26412,24137,24604,25167,27164,29316
Punjab,266628,280823,299450,312125,330052,352721,375406,397019,413295,407264,437373,468396,497764,528239
Rajasthan,434837,454564,486230,521509,563340,596746,628020,643278,678316,665963,725464,779196,840599,906294
Sikkim,11165,11421,12114,13071,14370,15397,17673,18625,19492,19557,21240,22948,24902,
Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1243836,1244650,1342817,1425736,1557821,1732189
Telangana,359434,370113,389957,416332,464542,507946,557410,608401,640968,602435,669769,718725,772684,835100
Tripura,19208,20873,22819,26965,26787,30538,33093,36754,38063,36404,39516,42633,46225,50262
Uttar Pradesh,737070,772290,819888,854561,934181,1040486,1080800,1122475,1169035,1115466,1240799,1333064,1452033,1582636
Uttarakhand,115328,123710,134182,141278,152699,167703,180956,186083,189740,166786,174635,189473,204315,217817
West Bengal,520485,542191,558498,574364,609545,653416,694981,738920,761794,704042,786004,831251,881892,941854
India,8736329,9213017,9801370,10527674,11369493,12308193,13144582,13992914,14534641,13694869,15021846,16164913 (FE),17650591 (FRE),18796955  (PE)
