state,pumpsets_energised_upto_31Mar2022,new_pumpsets_2022_23,pumpsets_total_31Mar2023,agri_energy_GWh,agri_pct_of_state_consumption,agri_connected_load_kW,avg_capacity_per_pumpset_kW,avg_consumption_per_pumpset_kWh
Andaman & Nicobar Islands,493,91,584,1.51,0.23,1302.90,2.23,2585.56
Andhra Pradesh,1904499,0,1904499,9419.91,12.05,12473838.84,6.55,4946.14
Arunachal Pradesh,17,0,17,0.05,0.01,27.19,1.60,3226.18
Assam,34178,8625,42803,72.34,0.78,164978.56,3.85,1690.07
Bihar,384940,0,384940,3779.76,10.51,1041906.00,2.71,9819.09
Chandigarh,421,0,421,1.58,0.10,984.00,2.34,3752.97
Chhattisgarh,549504,0,549504,6875.65,23.60,1766651.00,3.21,12512.46
Dadra and Nagar Haveli and Daman and Diu,2452,0,2452,7.31,0.08,8232.00,3.36,2981.24
Delhi,30651,0,30651,39.97,0.13,65891.36,2.15,1303.91
Goa,12669,262,12931,37.14,0.84,63907.40,4.94,2872.17
Gujarat,1906207,7129,1913336,21511.19,17.88,16949891.50,8.86,11242.76
Haryana,670156,6790,676946,10204.06,19.17,7954798.00,11.75,15073.68
Himachal Pradesh,42590,4590,47180,90.93,0.83,233906.73,4.96,1927.30
Jammu & Kashmir,20471,0,20471,358.24,3.67,181093.71,8.85,17499.88
Jharkhand,100000,0,100000,148.58,0.56,75118.00,0.75,1485.77
Karnataka,3119019,0,3119019,21284.08,33.33,20125593.57,6.45,6823.97
Kerala,566332,0,566332,393.56,1.59,1032237.00,1.82,694.93
Lakshadweep,0,0,0,0.00,0.00,0.00,0.00,0.00
Madhya Pradesh,3076105,31605,3107710,27688.95,39.33,13320159.00,4.29,8909.76
Maharashtra,4476130,0,4476130,37480.11,24.33,17713903.00,3.96,8373.33
Manipur,108,0,108,5.87,0.69,1079.78,10.00,54351.85
Meghalaya,28,0,28,0.13,0.01,105.00,3.75,4814.65
Mizoram,54,0,54,1.06,0.22,4609.00,85.35,19674.31
Nagaland,194,0,194,0.02,0.00,11.24,0.06,103.09
Odisha,124521,36729,161250,644.34,2.39,856005.28,5.31,3995.91
Puducherry,7389,0,7389,58.68,2.02,60602.00,8.20,7941.53
Punjab,1378967,11935,1390902,13805.04,23.49,11183410.86,8.04,9925.24
Rajasthan,1601139,208347,1809486,30734.09,38.61,18773018.31,10.37,16984.98
Sikkim,0,0,0,0.00,0.00,0.00,0.00,0.00
Tamil Nadu,2280204,23818,2304022,14219.07,13.54,9854135.10,4.28,6171.41
Telangana,2582464,92927,2675391,22183.58,32.23,11669925.80,4.36,8291.72
Tripura,7044,1455,8499,55.21,2.09,36512.56,4.30,6495.69
Uttar Pradesh,1412948,38868,1451816,20716.02,16.71,11139988.81,7.67,14269.04
Uttarakhand,34364,3851,38215,418.24,3.10,354936.00,9.29,10944.39
West Bengal,345017,15161,360178,1615.99,2.54,1422991.71,3.95,4486.64
India,26671275,492183,27163458,243852.25,18.98,158531751.21,5.84,8977.22
