state,diesel_pumps_AISI_2016_17,standalone_solar_pumps_installed
Andhra Pradesh,413600,34045
Arunachal Pradesh,2300,22
Assam,92100,45
Bihar,574000,2813
Chhattisgarh,113500,119282
Goa,11800,45
Gujarat,674800,12528
Haryana,322000,40994
Himachal Pradesh,1900,479
Jammu & Kashmir,29500,501
Jharkhand,330600,13399
Karnataka,334200,7734
Kerala,16000,818
Madhya Pradesh,1103600,25047
Maharashtra,393300,32814
Manipur,100,68
Meghalaya,11200,54
Odisha,495500,10689
Punjab,226700,16552
Rajasthan,1121000,102971
Tamil Nadu,278600,7701
Telangana,56200,424
Tripura,71900,1325
Uttar Pradesh,3607600,35492
Uttarakhand,43000,332
West Bengal,817000,653
Puducherry,600,21
Others,9600,4768
India,11152200,471616
