state,compA_sanctioned_MW,compA_installed_MW,compB_sanctioned_no,compB_installed_no,compC_sanctioned_IPS,compC_sanctioned_FLS,compC_installed_total
Andaman & Nicobar Islands,0.00,0.00,34,0,436,0,0
Andhra Pradesh,0.00,0.00,0,0,0,100000,0
Arunachal Pradesh,0.00,0.00,700,394,0,0,0
Assam,10.00,0.00,4000,0,1000,0,0
Bihar,0.00,0.00,0,0,0,70000,0
Chhattisgarh,30.00,4.00,10000,0,0,0,0
Goa,150.00,0.00,900,80,0,11000,700
Gujarat,500.00,0.00,12382,7705,0,725000,30158
Haryana,85.00,6.65,197655,137594,0,12899,0
Himachal Pradesh,100.00,25.95,1270,685,0,0,0
Jammu & Kashmir,20.00,0.00,5000,1937,4000,0,0
Jharkhand,20.00,0.00,42985,23999,1000,0,0
Karnataka,0.00,0.00,41360,1674,0,766588,1713
Kerala,1.50,0.00,8,8,45100,25387,7402
Ladakh,0.00,0.00,1400,0,0,0,0
Madhya Pradesh,1490.00,39.63,59400,7325,0,445000,7417
Maharashtra,700.00,6.00,505000,222933,0,775000,31428
Manipur,0.00,0.00,150,78,0,0,0
Meghalaya,0.00,0.00,3035,96,0,0,0
Mizoram,0.00,0.00,1700,40,0,0,0
Nagaland,5.00,0.00,265,65,0,0,0
Odisha,500.00,0.00,16441,5478,25000,10000,0
Puducherry,0.00,0.00,0,0,0,0,0
Punjab,220.00,0.00,33000,12952,186,95000,0
Rajasthan,1550.00,244.00,162914,89245,6418,400000,5476
Tamil Nadu,424.00,1.00,5200,3909,5000,6000,0
Telangana,4000.00,0.00,0,0,28000,0,0
Tripura,5.00,0.00,10895,3537,2600,0,50
Uttar Pradesh,151.00,0.00,110948,54117,12000,94000,2000
Uttarakhand,0.00,0.00,5685,473,200,0,0
West Bengal,0.00,0.00,0,0,700,0,20
India,9961.50,327.23,1232327,574324,131640,3535874,86364
