state,canal_govt,canal_private,canal_total,tanks,tubewells,other_wells,other_sources,net_irrigated_area
Andaman & Nicobar Islands,,,,0,,0,0,0
Andhra Pradesh,1008,,1008,255,1201,42,97,2603
Arunachal Pradesh,,,,,,,63,63
Assam,149,10,159,7,115,39,149,469
Bihar,1005,,1005,87,2172,22,115,3401
Chandigarh,,,,,,,1,1
Chhattisgarh,833,,833,22,563,8,61,1487
Dadra and Nagar Haveli and Daman and Diu,0,,0,0,0,,,1
Delhi,2,,2,,21,1,,25
Goa,14,,14,1,,6,19,39
Gujarat,1853,,1853,278,1923,1792,428,6273
Haryana,1237,,1237,,1988,,,3225
Himachal Pradesh,3,,3,,25,2,78,110
Jammu & Kashmir,160,102,262,10,8,7,22,311
Jharkhand,3,,3,61,13,50,72,199
Karnataka,907,,907,76,2873,376,577,4809
Kerala,78,,78,48,55,128,111,420
Ladakh,,20,20,2,,,,22
Madhya Pradesh,2194,,2194,440,4918,2849,2346,12747
Maharashtra,500,,500,120,987,3155,1733,6496
Manipur,,,,,,,57,57
Meghalaya,87,18,105,,,,,105
Mizoram,2,11,12,,,,,12
Nagaland,,,,,,,118,118
Odisha,,,,,,,1315,1315
Puducherry,5,,5,,11,,,16
Punjab,927,,927,,3182,,,4109
Rajasthan,2215,,2215,51,4968,2095,218,9547
Sikkim,,,,,,,13,13
Tamil Nadu,602,1,603,401,572,1304,5,2885
Telangana,975,,975,372,1863,459,59,3728
Tripura,7,,7,2,9,1,71,90
Uttar Pradesh,1874,,1874,,9797,43,1942,13656
Uttarakhand,65,1,66,,228,,16,310
West Bengal,553,,553,904,1913,87,300,3757
India,17258,163,17420,3136,39405,12468,9987,82416
