state,fy,canal_total,tanks,tubewells,other_wells,other_sources,net_irrigated_000ha
Andhra Pradesh,2014-15,1429,293,1010,70,125,2927
Assam,2014-15,77,10,74,1,134,296
Bihar,2014-15,934,57,1860,20,115,2987
Chhattisgarh,2014-15,902,43,428,20,73,1466
Delhi,2014-15,2,,18,0,1,22
Goa,2014-15,9,21,5,3,2,39
Gujarat,2014-15,771,45,1122,2181,114,4233
Haryana,2014-15,1151,,1818,4,0,2974
Himachal Pradesh,2014-15,4,0,23,2,83,113
Jammu & Kashmir,2014-15,291,8,4,6,22,331
Jharkhand,2014-15,7,49,38,63,50,207
Karnataka,2014-15,1177,158,1402,379,473,3589
Kerala,2014-15,87,47,30,133,117,414
Madhya Pradesh,2014-15,1646,273,3281,3122,1262,9584
Maharashtra,2014-15,1080,,2164,,,3244
Manipur,2014-15,,,,,69,69
Meghalaya,2014-15,81,,,,,81
Mizoram,2014-15,16,,,,,16
Nagaland,2014-15,,,,,97,97
Odisha,2014-15,,,,,1259,1259
Puducherry,2014-15,4,,9,,0,13
Punjab,2014-15,1175,,2943,,,4118
Rajasthan,2014-15,1929,70,3557,2176,150,7882
Sikkim,2014-15,,,,,12,12
Tamil Nadu,2014-15,669,368,493,1191,4,2726
Telangana,2014-15,174,97,948,465,43,1726
Tripura,2014-15,6,1,6,3,63,79
Uttar Pradesh,2014-15,2482,184,10183,1474,67,14389
Uttarakhand,2014-15,79,0,188,39,24,330
West Bengal,2014-15,,,,,3102,3102
India,2014-15,16182,1723,31606,11354,7519,68383
Andhra Pradesh,2015-16,1081,363,1115,77,106,2743
Assam,2015-16,78,10,75,1,134,297
Bihar,2015-16,917,60,1841,20,120,2958
Chhattisgarh,2015-16,889,43,444,21,79,1476
Delhi,2015-16,2,,18,0,1,22
Goa,2015-16,9,20,5,3,2,39
Gujarat,2015-16,771,45,1122,2181,114,4233
Haryana,2015-16,1154,,1801,,0,2956
Himachal Pradesh,2015-16,4,1,27,3,84,120
Jammu & Kashmir,2015-16,320,7,4,5,20,356
Jharkhand,2015-16,7,44,39,66,56,213
Karnataka,2015-16,928,147,1399,375,394,3243
Kerala,2015-16,90,48,35,134,107,414
Madhya Pradesh,2015-16,1683,262,3222,2977,1141,9284
Maharashtra,2015-16,1070,,2145,,,3215
Manipur,2015-16,,,,,73,73
Meghalaya,2015-16,80,,,,,80
Mizoram,2015-16,16,,,,,16
Nagaland,2015-16,,,,,104,104
Odisha,2015-16,,,,,1230,1230
Puducherry,2015-16,4,,9,,0,13
Punjab,2015-16,1122,,3014,,,4137
Rajasthan,2015-16,1979,66,3658,2117,117,7938
Sikkim,2015-16,,,,,16,16
Tamil Nadu,2015-16,672,438,499,1221,3,2833
Telangana,2015-16,53,113,847,440,33,1486
Tripura,2015-16,8,2,7,2,63,81
Uttar Pradesh,2015-16,2166,67,10662,1254,83,14231
Uttarakhand,2015-16,74,0,171,57,27,330
West Bengal,2015-16,,,,,3105,3105
India,2015-16,15178,1736,32162,10956,7269,67300
Andhra Pradesh,2016-17,1225,236,1086,76,95,2719
Assam,2016-17,92,10,74,10,176,362
Bihar,2016-17,965,61,1940,21,115,3101
Chhattisgarh,2016-17,901,41,445,21,77,1486
Delhi,2016-17,2,,18,0,1,22
Goa,2016-17,8,20,5,3,2,37
Gujarat,2016-17,771,45,1122,2181,114,4233
Haryana,2016-17,1181,,1965,,0,3146
Himachal Pradesh,2016-17,3,0,23,4,84,114
Jammu & Kashmir,2016-17,304,7,4,4,18,336
Jharkhand,2016-17,4,76,29,94,81,283
Karnataka,2016-17,913,116,1371,326,378,3104
Kerala,2016-17,64,50,42,122,99,378
Madhya Pradesh,2016-17,1791,295,3470,3095,1224,9876
Maharashtra,2016-17,1053,,2110,,,3163
Manipur,2016-17,,,,,75,75
Meghalaya,2016-17,97,,,,,97
Mizoram,2016-17,16,,,,,16
Nagaland,2016-17,,,,,110,110
Odisha,2016-17,,,,,1122,1122
Puducherry,2016-17,1,,11,,1,13
Punjab,2016-17,1152,,2976,,,4128
Rajasthan,2016-17,2018,99,3726,2231,183,8257
Sikkim,2016-17,,,,,16,16
Tamil Nadu,2016-17,526,302,507,1047,2,2385
Telangana,2016-17,290,193,1103,501,71,2158
Tripura,2016-17,7,2,6,0,67,82
Uttar Pradesh,2016-17,2213,76,10694,1258,96,14337
Uttarakhand,2016-17,70,,203,29,28,329
West Bengal,2016-17,,,,,3106,3106
India,2016-17,15669,1630,32930,11022,7397,68649
Andhra Pradesh,2017-18,1187,296,1110,64,106,2763
Assam,2017-18,99,8,39,43,167,357
Bihar,2017-18,967,58,1944,22,114,3105
Chhattisgarh,2017-18,871,40,507,19,69,1506
Delhi,2017-18,2,,18,0,1,22
Goa,2017-18,4,9,2,1,1,17
Gujarat,2017-18,771,45,1122,2181,114,4233
Haryana,2017-18,1208,,2053,,,3261
Himachal Pradesh,2017-18,3,1,24,1,80,110
Jammu & Kashmir,2017-18,299,7,4,4,18,332
Jharkhand,2017-18,5,54,29,74,70,231
Karnataka,2017-18,945,126,1414,289,381,3155
