state,area_total_lakh_ha,production_total_lakh_tonne,productivity_total_kg_per_ha
Andaman & Nicobar Islands,0.05,0.09,1803
Andhra Pradesh,37.13,117.22,3157
Arunachal Pradesh,2.38,3.93,1653
Assam,24.92,55.33,2221
Bihar,68.86,213.73,3104
Chandigarh,0.01,0.03,4794
Chhattisgarh,47.25,113.84,2409
Dadra and Nagar Haveli,0.17,0.35,2033
Delhi,0.28,1.06,3830
Goa,0.36,0.80,2198
Gujarat,45.98,104.76,2278
Haryana,46.83,189.02,4036
Himachal Pradesh,6.86,15.68,2285
Jammu & Kashmir,8.90,18.45,2074
Jharkhand,29.49,50.42,1710
Karnataka,83.63,146.31,1749
Kerala,1.78,5.18,2906
Ladakh,0.16,0.29,1837
Madhya Pradesh,188.83,466.31,2470
Maharashtra,117.35,184.69,1574
Manipur,2.17,4.99,2300
Meghalaya,1.39,3.39,2439
Mizoram,0.28,0.47,1670
Nagaland,2.95,4.94,1673
Odisha,48.13,103.97,2160
Puducherry,0.18,0.48,2632
Punjab,68.85,327.78,4761
Rajasthan,152.92,255.72,1672
Sikkim,0.43,0.69,1577
Tamil Nadu,38.53,109.26,2835
Telangana,59.19,216.35,3655
Tripura,2.61,7.65,2926
Uttar Pradesh,213.79,638.48,2986
Uttarakhand,6.62,17.17,2596
West Bengal,66.18,198.50,2999
India,1375.46,3577.32,2601
