State,Net abatement (tCO2/yr),Revenue p5 (INR crore),Revenue p50 (INR crore),Revenue p95 (INR crore)
Maharashtra,355950.12909469026,32.76572380512206,67.19920744429942,119.27612506237602
Gujarat,95737.3111202112,8.812757848938437,18.074080901414888,32.08082975936264
Haryana,76903.2922486074,7.0790591927335305,14.518439147943104,25.76969624166988
Rajasthan,76333.39524417391,7.02659934985575,14.410849281013673,25.578728179524862
Uttar Pradesh,34471.91433690035,3.1731895337962763,6.507892913030106,11.551270893046498
Jharkhand,17360.805739009054,1.5980872582502292,3.277516401589798,5.817471233333369
Karnataka,11633.438764900144,1.0708748510472295,2.196256725180496,3.898275021157793
Madhya Pradesh,11574.686496401844,1.0654666198227154,2.185164986321792,3.878587592070677
Punjab,7356.273618224177,0.6771556179026397,1.388778136266864,2.465030183615834
Kerala,6448.551069925497,0.5935984454839044,1.2174107708998907,2.1608594042199094
Odisha,2798.566389468845,0.2576120806609976,0.5283364943029215,0.9377778721829023
Tripura,2573.349360225376,0.23688052763369544,0.48581816201122385,0.862309394015629
Tamil Nadu,2049.964568353053,0.1887022011419868,0.3870092550116045,0.6869272132312476
Jammu and Kashmir,1414.950466333968,0.1302482353237024,0.26712604418044833,0.47413891718134854
Uttarakhand,669.2862586430914,0.061608767365917354,0.12635339183206676,0.2242726296840496
Himachal Pradesh,469.5285457488841,0.043220781202571126,0.08864147971247402,0.1573353707878592
Goa,391.6817899886416,0.03605487483009062,0.07394492572469157,0.13124952724743205
Arunachal Pradesh,282.5004910293078,0.026004578471202862,0.05333277767893381,0.0946637215272104
Meghalaya,47.9810192736086,0.004416722166686101,0.00905825340127472,0.01607806708781043
Manipur,38.18897452389256,0.003515350295933836,0.00720963025815743,0.012796828906624631
Nagaland,31.824145436577133,0.002929458579944864,0.006008025215131192,0.010664024088853858
Mizoram,19.584089499432075,0.0018027437415045308,0.0036972462862345777,0.006562476362371602
West Bengal,9.792044749716036,0.0009013718707522652,0.0018486231431172884,0.0032812381811858
