Test,Beta,SE,p-value,N,Note
cross_section_dose_gw,-0.0157380361827479,0.1014216076917318,0.8766838369394003,27,FY2024 terminal dose; no back-cast path
FE_component_B_tubewells,-0.0139564703035909,0.0027797849956211,5.148315001231806e-07,106,TWFE with income; component-separated treatment
FE_component_C_tubewells,-0.4722266681050638,0.3735420489662847,0.2061632367436344,106,TWFE with income; component-separated treatment
FE_component_B_gw,0.0422955012022184,0.0234215695113413,0.0709440417568868,165,TWFE with income; component-separated treatment
FE_component_C_gw,0.0287941068934301,1.7204374933192734,0.986646826225296,165,TWFE with income; component-separated treatment
continuous_interaction_kusum_intensity_per_kha,-0.0080010444563341,0.0149343901735086,0.5921338916994014,106,continuous gw_stage and discom interactions (not sparse category)
continuous_interaction_kusum_x_gw,-7.535059505191526e-05,0.0001222068535341,0.5375102062425529,106,continuous gw_stage and discom interactions (not sparse category)
continuous_interaction_kusum_x_discom,-0.0168339594584936,0.0215076208651852,0.4338048150083408,106,continuous gw_stage and discom interactions (not sparse category)
FE_gw_non_interpolated,0.0490993709363975,0.050818718106126,0.3339605979929293,109,assessment years only (2020/22/23/24)
placebo_FE_canal,-0.0080786589316264,0.0059092777739507,0.1715894401171713,119,canal area should be weakly related if solar-pump rebound is GW-specific
