Dropped state,Beta,SE,p-value,First-stage F,N,States remaining
Jharkhand,0.0737047268059782,0.1977427156680199,0.709349088404267,2.07541065082842,114,19
Maharashtra,0.0868494139108149,0.0310881519372584,0.0052116861161464,992.6323664199024,114,19
Telangana,0.0885585856073412,0.0314924739181708,0.004922600332571,20.88946463909145,114,19
Bihar,0.091647898761547,0.0331551621561607,0.0057060444524816,19.79721670199393,114,19
Tamil Nadu,0.0930015645766673,0.0336547995877047,0.0057203183098983,20.888629919360596,114,19
Gujarat,0.099766731417727,0.0339936948537156,0.003336983328392,21.090943337266,114,19
Punjab,0.1003212538892608,0.0341821956906203,0.0033365747043201,20.767490202967657,114,19
Haryana,0.1019013158913795,0.0332224904976821,0.0021604609795016,19.45162445725873,114,19
Uttar Pradesh,0.1019937968706337,0.0329750832529958,0.0019810638873867,21.85108333765273,114,19
Andhra Pradesh,0.1021705630131695,0.0337182170751608,0.0024444893062369,22.82006016932591,114,19
Himachal Pradesh,0.1021977696006626,0.0342490180630115,0.0028454207587187,20.651115265993305,114,19
Chandigarh,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Delhi,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Goa,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Arunachal Pradesh,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Dadra and Nagar Haveli and Daman and Diu,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Sikkim,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Puducherry,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Mizoram,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Jammu and Kashmir,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Meghalaya,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Ladakh,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Manipur,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Lakshadweep,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Nagaland,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Andaman and Nicobar Islands,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Tripura,0.102323604178707,0.0333022710138892,0.0021222308414978,20.58081415675134,120,20
Rajasthan,0.1035851510455856,0.0350940212435123,0.0031608438760042,20.24303828300171,114,19
Chhattisgarh,0.1049890889974971,0.0340978685612439,0.0020766086967585,21.26890267885334,114,19
Kerala,0.1053198817441245,0.0340317039038911,0.0019697365945747,20.175678821898146,114,19
Madhya Pradesh,0.1059437406629282,0.0344100948870789,0.0020779682007199,20.773878624087704,114,19
Uttarakhand,0.1069782438870383,0.0341656858999771,0.0017411701294525,20.82477183518678,114,19
West Bengal,0.1088886183940314,0.0372596894492996,0.0034731814141515,18.997990662359044,114,19
Karnataka,0.1089746243891536,0.033774301534774,0.0012529037146011,20.804817004244363,114,19
Assam,0.1091156085236395,0.0351204031351123,0.0018905983062964,20.06089287679119,114,19
Odisha,0.1218422287446596,0.0371250719128016,0.0010309583275558,19.45837655817894,114,19
