Years since onset,ATT (ha),SE,95% CI lower,95% CI upper,Zero excluded
-8,151.0,134.2653177687952,-112.15518719966434,414.15518719966434,No
-7,-25.55999999999981,19.74625837975386,-64.26195525373963,13.141955253739996,No
-6,-15.188888888888997,23.60164513226239,-61.447263324018365,31.06948554624037,No
-5,4.000000000000085,36.36644854645083,-67.27692939667254,75.27692939667271,No
-4,-47.79230769230778,40.95125477488678,-128.05529217280977,32.47067678819422,No
-3,8.492307692307646,48.25178742317405,-86.07945784679623,103.06407323141153,No
-2,31.046153846154027,65.21824064679505,-96.77924895663052,158.87155664893857,No
-1,28.10769230769205,49.160396411440736,-68.24491412444391,124.460298739828,No
0,-70.69650349650334,54.87434312390411,-178.24823969464856,36.85523270164188,No
1,179.52969696969703,260.5342523057137,-331.1080542885734,690.1674482279675,No
2,174.9825757575759,344.45391554213234,-500.134693038805,850.0998445539568,No
3,-506.8681818181817,234.69662084632355,-966.8651059702285,-46.871257666135136,Yes
