,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-8,151.0,134.2653177687952,-112.15518719966434,414.15518719966434,
-7,-25.559999999999814,19.74625837975386,-64.26195525373963,13.141955253739997,
-6,-15.188888888888995,23.60164513226239,-61.447263324018365,31.069485546240372,
-5,4.000000000000085,36.36644854645083,-67.27692939667254,75.27692939667271,
-4,-47.79230769230778,40.95125477488678,-128.05529217280977,32.47067678819422,
-3,8.492307692307646,48.25178742317405,-86.07945784679623,103.06407323141153,
-2,31.046153846154027,65.21824064679505,-96.77924895663051,158.87155664893857,
-1,28.107692307692055,49.160396411440736,-68.24491412444391,124.460298739828,
0,-70.69650349650334,54.87434312390411,-178.24823969464856,36.85523270164188,
1,179.52969696969703,260.5342523057137,-331.1080542885734,690.1674482279675,
2,174.9825757575759,344.45391554213234,-500.13469303880504,850.0998445539568,
3,-506.8681818181817,234.69662084632353,-966.8651059702283,-46.871257666135136,*
