state,fy_start,cate,cate_lb,cate_ub,discom_health,ghi_annual,rpo_compliance,gw_stage_step,log_gdp_pc
Andhra Pradesh,2019,-31.23044424613709,-51.46229637709828,-10.9985921151759,0.8923,5.061875,140.0,33.26,0.22975632039984006
Andhra Pradesh,2020,-44.87229189416955,-74.57056270358692,-15.174021084752145,0.7163999999999999,5.057316666666666,140.0,33.26,0.23896596577684548
Andhra Pradesh,2021,-32.232181638200274,-53.00695406753648,-11.457409208864082,0.8945,4.960875,140.0,33.26,0.3020894592107801
Andhra Pradesh,2022,-30.32103424031987,-52.137155242969634,-8.504913237670106,0.9226,4.99025,140.0,28.81,0.34942677992772886
Andhra Pradesh,2023,-25.303569292712588,-48.81978530494622,-1.7873532804789463,0.8795,5.0743,140.0,28.3,0.40603498512701464
Assam,2019,-68.64417970486767,-124.61262988013455,-12.675729529600801,0.7663,4.1507,25.3,11.73,-0.36031536196595226
Assam,2020,-62.194909674857186,-110.40219177834784,-13.987627571366637,0.8127,4.23555,25.3,11.73,-0.3419989128940344
Assam,2021,-59.66229839744197,-108.01808990411726,-11.30650689076672,0.8305,4.352891666666667,25.3,11.73,-0.3112435630427406
Assam,2022,-51.98511206002806,-89.46372267328434,-14.5065014467718,0.8378,4.158016666666667,25.3,12.38,-0.2050067111051277
Assam,2023,-42.63097646410112,-71.91719933681884,-13.344753591383352,0.8597,4.421125,25.3,12.54,-0.10109276449759719
Bihar,2019,-76.82925220146856,-128.52348875177134,-25.13501565116585,0.5962,4.520433333333333,23.7,51.14,-1.1074445646721465
Bihar,2020,-76.82925220146856,-128.52348875177134,-25.13501565116585,0.6673,4.4614416666666665,23.7,51.14,-1.1986911620512402
Bihar,2021,-76.82925220146856,-128.52348875177134,-25.13501565116585,0.6758,4.392891666666666,23.7,51.14,-1.1650194079199139
Bihar,2022,-74.30562941831899,-126.28263513089459,-22.328623705743432,0.7655000000000001,4.6257,23.7,44.94,-1.059070614996788
Bihar,2023,-69.48891372901186,-115.36388879673231,-23.61393866129152,0.7968,4.541008333333333,23.7,44.76,-0.9606499637243147
Chhattisgarh,2019,-60.86799621350269,-99.04776918066855,-22.68822324633674,0.7632,4.805891666666667,34.2,46.34,-0.14044619326789842
Chhattisgarh,2020,-53.609420241170895,-90.67766953950995,-16.541170942831812,0.8035,4.928791666666666,34.2,46.34,-0.1550830267223482
Chhattisgarh,2021,-46.226578540404546,-78.48848485870377,-13.964672222105293,0.8187,4.882016666666666,34.2,46.34,-0.10613060389207618
Chhattisgarh,2022,-36.910005318918905,-70.04397997002357,-3.776030667814233,0.8386,4.9641,34.2,49.58,-0.04966382460560581
Chhattisgarh,2023,-35.2068311922831,-64.05595180826543,-6.3577105763008,0.8412,4.847283333333333,34.2,47.17,0.009544462448857871
Goa,2019,-14.984220781317285,-47.16913443089559,17.20069286826103,0.8601,5.1735,32.6,23.48,1.2662915153119148
Goa,2020,-14.902013497119082,-46.33381296155457,16.529785967316407,0.8691,5.1735,32.6,23.48,1.2187573514505825
Goa,2021,-14.886700900513665,-46.34416501664361,16.57076321561626,0.8672,5.1735,32.6,23.48,1.2242686242980554
Gujarat,2019,-17.08618877072597,-53.681239803364704,19.50886226191271,0.8805000000000001,5.236375,85.3,53.39,0.6258324566575091
Gujarat,2020,-16.9288244450362,-53.10138918183763,19.243740291765196,0.8844,5.463491666666666,85.3,53.39,0.5812637939306846
Gujarat,2021,-17.11866593428675,-53.209853099259796,18.97252123068624,0.8987,5.241666666666666,85.3,53.39,0.6641371724440006
Gujarat,2022,-15.107652272203783,-44.99300120456977,14.777696660162208,0.8928,5.416591666666666,85.3,53.23,0.7229314869265444
Gujarat,2023,-14.752697406087837,-48.303799469376116,18.79840465720043,0.9103,5.183441666666666,85.3,51.68,0.7229314869265444
Haryana,2019,-28.060257778679933,-147.64681386984483,91.52629831248501,0.8181,4.721391666666666,20.0,134.56,0.6448131316690535
Haryana,2020,-16.892191075566007,-139.3453038385949,105.56092168746287,0.8295,4.9204,20.0,134.56,0.5436321380924412
Haryana,2021,-18.054436119997536,-150.8836110795867,114.77473883959163,0.8628,4.761633333333333,20.0,134.56,0.6342317685612606
Haryana,2022,-18.906304022984152,-150.99998658191078,113.18737853594243,0.8799,4.795358333333334,20.0,134.14,0.664478448050982
Haryana,2023,-26.102916536479313,-150.18292289121243,97.97708981825377,0.887,4.713291666666667,20.0,135.74,0.727190720455738
Himachal Pradesh,2019,-26.861868246508358,-50.402948580792966,-3.320787912223768,0.8832,4.52175,355.3,36.83,0.5035125645291405
Himachal Pradesh,2020,-24.896205680917724,-48.60546988709052,-1.1869414747449056,0.8598,4.9553,355.3,36.83,0.45212671068509636
Himachal Pradesh,2021,-26.752465779777676,-51.801375730561475,-1.7035558289938812,0.871,4.657891666666667,355.3,36.83,0.49127419400111627
Himachal Pradesh,2022,-26.06358602215228,-50.37221196031709,-1.7549600839874877,0.8943,4.591683333333333,355.3,37.56,0.550058694826923
Himachal Pradesh,2023,-25.85635241336677,-49.39642507025712,-2.3162797564764332,0.8912,4.4769,355.3,34.95,0.6063277974239814
Jharkhand,2019,-74.55133143651194,-131.7254939206658,-17.377168952358176,0.6304000000000001,4.504641666666667,48.4,29.13,-0.48695348806855066
Jharkhand,2020,-74.55133143651194,-131.7254939206658,-17.377168952358176,0.5690999999999999,4.515833333333333,48.4,29.13,-0.5554289393412013
Jharkhand,2021,-74.55133143651194,-131.7254939206658,-17.377168952358176,0.6621,4.393208333333333,48.4,29.13,-0.4552886540812935
Jharkhand,2022,-74.82162510287034,-132.62361085657741,-17.019639349163278,0.7254,4.638974999999999,48.4,31.35,-0.3985928768479674
Jharkhand,2023,-73.4047259041685,-130.1522439545777,-16.657207853759324,0.6949,4.425108333333333,48.4,31.38,-0.3389001712562454
Karnataka,2019,-31.708852331359246,-126.5835302559376,63.16582559321912,0.8241,5.253383333333333,185.8,64.85,0.554915993371786
Karnataka,2020,-28.71976905157197,-122.78392933005014,65.34439122690618,0.8373999999999999,5.172433333333333,185.8,64.85,0.523229050151599
