state,abatement_tco2,rev_p05,rev_p50,rev_p95
Maharashtra,355950.12909469026,327657238.0512206,671992074.4429942,1192761250.6237602
Gujarat,95737.3111202112,88127578.48938437,180740809.01414892,320808297.59362644
Haryana,76903.2922486074,70790591.9273353,145184391.47943103,257696962.4166988
Rajasthan,76333.39524417391,70265993.4985575,144108492.81013674,255787281.79524863
Uttar Pradesh,34471.91433690035,31731895.33796276,65078929.13030106,115512708.93046498
Jharkhand,17360.805739009054,15980872.582502292,32775164.01589798,58174712.333333686
Karnataka,11633.438764900144,10708748.510472294,21962567.251804963,38982750.21157793
Madhya Pradesh,11574.686496401844,10654666.198227154,21851649.863217916,38785875.920706764
Punjab,7356.273618224177,6771556.179026397,13887781.362668639,24650301.836158343
Kerala,6448.551069925497,5935984.454839044,12174107.708998907,21608594.042199094
Odisha,2798.566389468845,2576120.8066099756,5283364.943029215,9377778.721829025
Tripura,2573.349360225376,2368805.2763369544,4858181.620112238,8623093.94015629
Tamil Nadu,2049.964568353053,1887022.0114198679,3870092.5501160454,6869272.132312476
Jammu and Kashmir,1414.950466333968,1302482.3532370238,2671260.4418044835,4741389.171813485
Uttarakhand,669.2862586430914,616087.6736591735,1263533.9183206675,2242726.296840496
Himachal Pradesh,469.5285457488841,432207.8120257113,886414.7971247402,1573353.707878592
Goa,391.6817899886416,360548.7483009062,739449.2572469157,1312495.2724743206
Arunachal Pradesh,282.5004910293078,260045.78471202863,533327.7767893381,946637.215272104
Meghalaya,47.9810192736086,44167.22166686101,90582.5340127472,160780.6708781043
Manipur,38.18897452389256,35153.50295933836,72096.3025815743,127968.2890662463
Nagaland,31.824145436577133,29294.585799448636,60080.25215131191,106640.24088853858
Mizoram,19.584089499432075,18027.437415045308,36972.462862345776,65624.76362371602
West Bengal,9.792044749716036,9013.718707522652,18486.231431172884,32812.381811858
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0
Assam,0.0,0.0,0.0,0.0
Andhra Pradesh,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,0.0,0.0
Chhattisgarh,0.0,0.0,0.0,0.0
Lakshadweep,0.0,0.0,0.0,0.0
Ladakh,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,0.0
Bihar,0.0,0.0,0.0,0.0
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0
Puducherry,0.0,0.0,0.0,0.0
Telangana,0.0,0.0,0.0,0.0
Sikkim,0.0,0.0,0.0,0.0
