dropped_state,beta,se,pvalue,F,n,n_states
Andaman and Nicobar Islands,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Andhra Pradesh,0.10217056301316951,0.03371821707516086,0.0024444893062369744,22.82006016932591,114,19
Arunachal Pradesh,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Assam,0.10911560852363955,0.03512040313511234,0.0018905983062964538,20.06089287679119,114,19
Bihar,0.091647898761547,0.03315516215616079,0.0057060444524816845,19.797216701993932,114,19
Chandigarh,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Chhattisgarh,0.10498908899749715,0.03409786856124392,0.0020766086967585196,21.26890267885334,114,19
Dadra and Nagar Haveli and Daman and Diu,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Delhi,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Goa,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Gujarat,0.09976673141772707,0.03399369485371563,0.0033369833283920514,21.090943337265998,114,19
Haryana,0.10190131589137952,0.033222490497682194,0.0021604609795016216,19.451624457258735,114,19
Himachal Pradesh,0.10219776960066262,0.0342490180630115,0.002845420758718742,20.651115265993305,114,19
Jammu and Kashmir,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Jharkhand,0.07370472680597828,0.19774271566801993,0.709349088404267,2.0754106508284202,114,19
Karnataka,0.10897462438915362,0.03377430153477401,0.0012529037146011834,20.804817004244363,114,19
Kerala,0.10531988174412454,0.03403170390389117,0.001969736594574778,20.175678821898142,114,19
Ladakh,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Lakshadweep,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Madhya Pradesh,0.10594374066292822,0.03441009488707899,0.0020779682007199263,20.773878624087704,114,19
Maharashtra,0.08684941391081491,0.031088151937258498,0.005211686116146419,992.6323664199025,114,19
Manipur,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Meghalaya,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Mizoram,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Nagaland,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Odisha,0.12184222874465966,0.03712507191280161,0.001030958327555842,19.45837655817894,114,19
Puducherry,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Punjab,0.10032125388926083,0.0341821956906203,0.003336574704320139,20.767490202967657,114,19
Rajasthan,0.10358515104558563,0.03509402124351237,0.003160843876004238,20.24303828300171,114,19
Sikkim,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Tamil Nadu,0.0930015645766673,0.03365479958770478,0.005720318309898387,20.888629919360593,114,19
Telangana,0.0885585856073412,0.03149247391817081,0.004922600332571081,20.88946463909145,114,19
Tripura,0.102323604178707,0.03330227101388926,0.002122230841497874,20.58081415675134,120,20
Uttar Pradesh,0.1019937968706337,0.03297508325299581,0.001981063887386725,21.85108333765273,114,19
Uttarakhand,0.10697824388703836,0.03416568589997715,0.0017411701294525184,20.82477183518678,114,19
West Bengal,0.10888861839403141,0.03725968944929967,0.0034731814141515382,18.997990662359044,114,19
