state,kusum_intensity_per_kha,gw_stage_step,gw_stress_cat,implied_delta_stage_pp
Jharkhand,50.890330423677604,31.43,safe,5.207282026795998
Maharashtra,31.964035780014342,52.99,safe,3.2706753451082156
Tripura,16.679180576209472,9.48,safe,1.7066738713052363
Haryana,13.910209889810716,135.96,over_exploited,1.4233428108077273
Kerala,8.956355486352532,53.78,safe,0.9164465736693274
Gujarat,8.902754709388834,54.21,safe,0.9109619489836227
Goa,5.858510915423066,22.91,safe,0.5994639519863842
Rajasthan,4.664081459384506,149.86,over_exploited,0.4772456251073063
Jammu and Kashmir,2.6539902141371936,22.28,safe,0.27156584416553603
Himachal Pradesh,2.489933713042478,35.48,safe,0.25477899168457674
Uttar Pradesh,1.4725171559013606,70.45,semi_critical,0.15067326260680622
Karnataka,1.4111455179333885,68.44,safe,0.14439349541557253
